STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
"BB=VS4TQN0$@R6X,98/8U""",2017/18,BAMUS01F,BA Commercial Music FT,Level 6,4.38,Other inc. Private Halls,HA1 3TP,69,17,75
BB2E=*P*W9L)X2%O\'9@@+,2017/18,BACRI01F,BA Criminology FT,Level 4,6.82,Commuter,W1B 2HW,45,36,70
"BB2V`92/A6\`=J,V`:JO0!",2016/17,BAMRK01F,BA International Marketing FT,Level 4,11.1,Commuter,NW1 5LS,65,38,72
"BB2V`92/A6\`=J,V`:JO0!",2017/18,BAMRK01F,BA International Marketing FT,Level 5,11.1,Commuter,NW1 5LS,57,44,74
"BB4WN7-0-""OS(T:BKRM4J$",2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,3.37,Commuter,W1W 6XH,6,20,84
"BB5BS""I(\X_A0@K@U9-R_,",2016/17,BAJMC06F,BA Television Production FT,Level 4,2.13,Other inc. Private Halls,HA1 3TP,60,50,84
"BB5BS""I(\X_A0@K@U9-R_,",2017/18,BAJMC06F,BA Television Production FT,Level 5,2.22,UoW Halls,HA1 3TP,63,22,65
"BB6B^O8Z,HTL`MO<X9A01%",2016/17,BAPIR02F,BA International Relations FT,Level 6,5.12,Other inc. Private Halls,W1B 2HW,56,9,83
BBEBT1E*XU$T^++=1UPV=.,2017/18,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,65,41,84
"BBJ.#K3,$[<^?_K$I]&>#/",2016/17,BLLAW02F,LLB Law FT,Level 6,5.56,Other inc. Private Halls,W1B 2HW,53,14,74
BBL78+F;PZ))JC^VMGC18-,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 4,7.23,Commuter,W1W 6XH,48,74,78
BBQWE\ZKKU[1A*E2<C9XH.,2017/18,BABSM06F,BA Business Management FT,Level 4,2.17,Other inc. Private Halls,NW1 5LS,42,23,76
"BBW'KQ?>9_WI7""Z+""/F2S-",2017/18,BSCSS02F,BSc Computer Science FT,Level 4,11.21,Commuter,W1W 6XH,68,86,90
BC!1A'_*P1CPG4VW3.QJB*,2017/18,BAJMC02F,BA Journalism FT,Level 6,14.7,Other inc. Private Halls,HA1 3TP,,10,55
BC$90W`3+5%'P]TN@/C!8$,2016/17,BSCSS02F,BSc Computer Science FT,Level 4,3.92,Commuter,W1W 6XH,27,17,74
BC(ISC[JNN+-/5WV<_\)>.,2017/18,BLLAW02F,LLB Law FT,Level 6,3.04,Other inc. Private Halls,W1B 2HW,62,33,72
BC:_&-$RW6P_\9V`)1&`50,2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 4,0.59,UoW Halls,HA1 3TP,63,49,77
BC:5#GU*5)_C334H5M;Z*&,2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 4,16.5,Commuter,HA1 3TP,3,5,72
"BC;""[$0H\(<TNO#9R`,4U,",2017/18,BAJMC02F,BA Journalism FT,Level 4,0.59,UoW Halls,HA1 3TP,71,45,81
"BC``!>30+)X""V(=!1O3T0(",2016/17,BABSM06F,BA Business Management FT,Level 6,2.55,Other inc. Private Halls,NW1 5LS,60,25,99
BC`G]2>`<ZA(&35%NM4M\',2016/17,BAPHT01F,BA Contemporary Media Practice FT,Level 6,15.46,Commuter,HA1 3TP,64,3,22
BC>*:;*89[S6`92E_QLR7&,2017/18,BATOE01F,BA Tourism and Events Management FT,Level 5,4.15,Commuter,NW1 5LS,45,25,74
"BC>Q'B9RW*]A++,=D.;>,'",2017/18,BABSM06F,BA Business Management FT,Level 6,0.4,Other inc. Private Halls,NW1 5LS,62,63,75
BC3#Z;A6PHJ/-]_\EDCJ*.,2016/17,BSNUT01F,BSc Human Nutrition FT,Level 6,3.71,Commuter,W1W 6XH,67,45,58
BC4+>*OW%TA;O.8K88+`2%,2016/17,BSMGM01F,BSc Computer Games Development FT,Level 4,,Unknown,W1W 6XH,66,72,88
BC4+>*OW%TA;O.8K88+`2%,2017/18,BSMGM01F,BSc Computer Games Development FT,Level 5,5.08,Other inc. Private Halls,W1W 6XH,53,19,58
"BC8@,@,*VH2I5MI56VIJ[$",2016/17,BSPOC07F,BSc Real Estate FT,Level 4,7.73,Commuter,NW1 5LS,66,55,76
"BC8@,@,*VH2I5MI56VIJ[$",2017/18,BSPOC07F,BSc Real Estate FT,Level 5,7.73,Commuter,NW1 5LS,69,37,49
BC9#WD`N0((Y&80;CA+>U#,2017/18,BABSM06F,BA Business Management FT,Level 4,8.98,Other inc. Private Halls,NW1 5LS,48,41,84
BC9&AE/X\6>*NTDHW;[Y]#,2017/18,BAPIR02F,BA International Relations FT,Level 5,1.94,Other inc. Private Halls,W1B 2HW,66,27,59
BCD%J!$L]92RP/%IZ!^)`0,2017/18,BLLAW02F,LLB Law FT,Level 4,16.34,Commuter,W1B 2HW,57,60,72
BCE(*Z5SYGFMM82--$?4[),2017/18,BAARC02F,BA Interior Architecture FT,Level 6,6.96,Other inc. Private Halls,NW1 5LS,74,1,71
BCE.6YS3STY&0+[#C=M21+,2016/17,BALAN01F,BA Modern Languages FT,Level 6,7.32,Commuter,W1B 2HW,61,67,79
BCJ2_<##];@-'N&*E*&Q0),2017/18,BLLAW02F,LLB Law FT,Level 4,9.3,Unknown,W1B 2HW,69,67,82
"BCM]+*+=%4Q(/"")9_QM(Q""",2016/17,BAJMC06F,BA Television Production FT,Level 5,2.24,UoW Halls,HA1 3TP,66,30,66
"BCM]+*+=%4Q(/"")9_QM(Q""",2017/18,BAJMC06F,BA Television Production FT,Level 6,14.11,Other inc. Private Halls,HA1 3TP,73,15,83
"BCN-/>T5FJ-4=C<,]?JDR,",2016/17,BABSM06F,BA Business Management FT,Level 4,1.83,Other inc. Private Halls,NW1 5LS,69,62,74
"BCN-/>T5FJ-4=C<,]?JDR,",2017/18,BABSM06F,BA Business Management FT,Level 5,1.83,Other inc. Private Halls,NW1 5LS,57,41,76
BCPBF#E$$'+=EFV^-!JJC%,2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 4,0.59,UoW Halls,HA1 3TP,48,17,63
BCPBF#E$$'+=EFV^-!JJC%,2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 5,0.53,Other inc. Private Halls,HA1 3TP,57,10,68
"BCQN%3_[#B^;WB#$I]QZF,",2016/17,BAARC02F,BA Interior Architecture FT,Level 6,5.11,Commuter,NW1 5LS,65,12,81
"BCR69IW1D6E+BYI#L*^,8,",2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,5.25,Commuter,W1W 6XH,66,28,69
"BCR69IW1D6E+BYI#L*^,8,",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,5.25,Commuter,W1W 6XH,60,16,77
"BCTJX"":\L(E>`E-C&9*VR/",2016/17,BSACC01F,BSc Accounting FT,Level 6,14.27,Commuter,NW1 5LS,48,14,90
"BD-,DXME)Y1P,YBDJE$N\#",2016/17,BSACC01F,BSc Accounting FT,Level 6,7.7,Commuter,NW1 5LS,36,42,91
BD->O-IGKY`=S_7ME'5^V%,2016/17,BAPIR03F,BA Politics and International Relations FT,Level 4,6.66,UoW Halls,W1B 2HW,,30,68
"BD-8VJ\`S5L,U;(Z;DLQ=-",2016/17,BSBMS03F,BSc Pharmacology and Physiology FT,Level 5,3.94,Other inc. Private Halls,W1W 6XH,58,73,87
"BD-8VJ\`S5L,U;(Z;DLQ=-",2017/18,BSBMS03F,BSc Pharmacology and Physiology FT,Level 6,6.42,Other inc. Private Halls,W1W 6XH,57,48,101
BD'X8.V]=O7V..5DI8CM=(,2016/17,BAFAS03F,BA Fashion Merchandise Management FT,Level 4,2.22,UoW Halls,HA1 3TP,64,49,82
"BD)B(FL_1B%BY0,;""@D\6*",2016/17,BATFM01F,BA Film FT,Level 6,0.4,Other inc. Private Halls,HA1 3TP,66,1,126
"BD,2VIB*JE6_(S9[X0*Z9&",2017/18,BABSM06F,BA Business Management FT,Level 4,5.98,Commuter,NW1 5LS,55,44,73
"BD.^ZODBFE2MO%5\(""V;L&",2016/17,BSFIN01F,BSc Finance FT,Level 5,8.04,Commuter,NW1 5LS,60,56,75
"BD.^ZODBFE2MO%5\(""V;L&",2017/18,BSFIN01F,BSc Finance FT,Level 6,8.04,Commuter,NW1 5LS,61,63,76
"BD\B4)79#_9]??,M\:^$?.",2016/17,BSPOC05F,BSc Property and Planning FT,Level 6,3.14,Other inc. Private Halls,NW1 5LS,52,37,87
BD]TV\`YJNQ11I>.4H;G3(,2016/17,BLLAW02F,LLB Law FT,Level 5,6.59,UoW Halls,W1B 2HW,49,39,95
BD]TV\`YJNQ11I>.4H;G3(,2017/18,BLLAW02F,LLB Law FT,Level 6,9.13,Commuter,W1B 2HW,64,38,52
BD^J%AG72ND3>826BCH>K!,2016/17,BSACC01F,BSc Accounting FT,Level 6,5.7,Commuter,NW1 5LS,48,34,116
"BD9=1HC,,><W3=]SGHL^_'",2016/17,BSCON01F,BSc Computer Networks and Communications FT,Level 5,9.29,Other inc. Private Halls,W1W 6XH,22,62,107
"BDJW;0'QXL\J2,M^7[D@1-",2016/17,BACRI01F,BA Criminology FT,Level 5,48.93,Unknown,W1B 2HW,62,44,54
"BDJW;0'QXL\J2,M^7[D@1-",2017/18,BACRI01F,BA Criminology FT,Level 6,48.93,Unknown,W1B 2HW,64,24,41
"BDX5FWQNY`KT26*&(TM^;""",2016/17,BABSM06F,BA Business Management FT,Level 5,3.11,Other inc. Private Halls,NW1 5LS,52,54,86
"BDX5FWQNY`KT26*&(TM^;""",2017/18,BABSM06F,BA Business Management FT,Level 6,3.11,Other inc. Private Halls,NW1 5LS,59,50,74
"BE!)7`H?EY\7J8A@59O:&""",2016/17,BLLAW02F,LLB Law FT,Level 5,1.63,Other inc. Private Halls,W1B 2HW,0,0,4
"BE#47G,1-X&VC)X;*@6WE.",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,9.44,Commuter,W1W 6XH,68,1,83
BE#U0L6'EY@&7WQ19:%[L),2016/17,BAJMC01F,BA Digital Media and Communication FT,Level 6,14.54,Other inc. Private Halls,HA1 3TP,66,21,55
"BE$W&O23H']IK>""Z/1P&C&",2016/17,BSACC01F,BSc Accounting FT,Level 5,4,Other inc. Private Halls,NW1 5LS,72,35,86
"BE$W&O23H']IK>""Z/1P&C&",2017/18,BSACC01F,BSc Accounting FT,Level 6,4.94,Other inc. Private Halls,NW1 5LS,77,43,63
"BE&7YK004R\""(1=2O?O/&#",2017/18,BLLAW02F,LLB Law FT,Level 4,3.7,Commuter,W1B 2HW,56,58,72
BE(L[]$F)W\2O<=/Q14O((,2016/17,BSPOC06F,BSc Quantity Surveying and Commercial Management FT,Level 4,9.23,Commuter,NW1 5LS,,37,51
BE(L[]$F)W\2O<=/Q14O((,2017/18,BSPOC03F,BSc Building Surveying FT,Level 5,9.23,Commuter,NW1 5LS,49,30,54
"BE:<)`*/@W\ISVC,%TM]2+",2017/18,BSCON01F,BSc Computer Networks and Communications FT,Level 4,3.83,Commuter,W1W 6XH,,72,98
"BE6E-""&<I++`N9S?KIFI\.",2017/18,BLLAW02F,LLB Law FT,Level 5,29.35,Unknown,W1B 2HW,12,18,80
"BEA;1T4""P0]^X1OO1L<G40",2016/17,BLLAW02F,LLB Law FT,Level 6,35.83,Unknown,W1B 2HW,63,49,86
"BEA4;Y""V8E<\$@<S]1=;,#",2016/17,BAMRK02F,BA Marketing Communications FT,Level 5,28.19,Unknown,NW1 5LS,66,64,75
"BEA4;Y""V8E<\$@<S]1=;,#",2017/18,BAMRK02F,BA Marketing Communications FT,Level 6,2.38,Other inc. Private Halls,NW1 5LS,69,50,73
BEB8HJ^X.FW2(_#N>:NH1!,2016/17,BABSM06F,BA Business Management FT,Level 5,6.46,Other inc. Private Halls,NW1 5LS,63,22,96
BEB8HJ^X.FW2(_#N>:NH1!,2017/18,BABSM06F,BA Business Management FT,Level 6,6.5,Other inc. Private Halls,NW1 5LS,56,19,78
"BEE9+4NC:`!?(E""/6L8S0*",2017/18,BLLAW01F,LLB European Legal Studies FT,Level 6,3.48,Other inc. Private Halls,W1B 2HW,69,43,61
BEJK+!0%N/;WA=EL]S)++*,2016/17,BABSM07F,BA International Business FT,Level 6,2.8,Commuter,NW1 5LS,78,86,98
"BEK>96>XC0U),[?F=`#`Q*",2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,77,56,72
BEL0=+@;%UP6'_*0QG<I=%,2017/18,BSACC01F,BSc Accounting FT,Level 4,7.13,Commuter,NW1 5LS,85,65,75
"BEMA_/QI3>FK>CD4I""#4Y)",2017/18,BALAW03F,BA Legal Studies FT,Level 6,4.31,Other inc. Private Halls,W1B 2HW,24,29,46
BEU?)C\3B/BJU3K9;)IM%$,2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 5,8.77,Commuter,HA1 3TP,54,38,60
BEU?)C\3B/BJU3K9;)IM%$,2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 6,8.77,Commuter,HA1 3TP,63,29,49
"BEX_)""UR`J@-N)WZBX7[_%",2016/17,BAMRK02F,BA Marketing Communications FT,Level 6,0.2,Other inc. Private Halls,NW1 5LS,67,60,77
"BF-_8?(WB""0\^D0SED91Z$",2017/18,BAPHT02F,BA Photography FT,Level 4,0.59,UoW Halls,HA1 3TP,57,14,88
BF'17W=HR7`JRLJK>PC$70,2016/17,BAENG03F,BA English Language and Linguistics FT,Level 5,7.65,Commuter,W1B 2HW,41,46,110
BF-XGH%7<G\A8-6H[BL4;',2016/17,BALAN07F,BA Translation FT,Level 5,11.3,Other inc. Private Halls,W1B 2HW,55,47,82
BF-XGH%7<G\A8-6H[BL4;',2017/18,BALAN07F,BA Translation FT,Level 6,11.3,Other inc. Private Halls,W1B 2HW,56,38,82
BF&$O^-IBOL$M*1=EA.QI-,2017/18,BAPHT02F,BA Photography FT,Level 4,18.44,Commuter,HA1 3TP,65,29,88
"BF&044I!RR:9R:^)E,"",&'",2017/18,BABSM07F,BA International Business FT,Level 4,0.73,Commuter,NW1 5LS,67,33,73
BF^IG2L!3WBWR7K27`((Y&,2016/17,BAARC01F,BA Architecture FT,Level 4,6.07,UoW Halls,NW1 5LS,61,62,90
BF78[107SAOS;*:.)>=!0',2016/17,BAARC01F,BA Architecture FT,Level 5,5.39,Other inc. Private Halls,NW1 5LS,51,18,71
BF78[107SAOS;*:.)>=!0',2017/18,BAARC01F,BA Architecture FT,Level 6,5.39,Other inc. Private Halls,NW1 5LS,61,7,85
"BFO1""%E8^JF^XH/G=`&@D.",2017/18,BLLAW02F,LLB Law FT,Level 4,12,Commuter,W1B 2HW,50,54,75
BFO5$JG%J98`5FM<ZJA[D(,2016/17,BAJMC05F,BA Radio and Digital Production FT,Level 6,5.61,Other inc. Private Halls,HA1 3TP,68,15,51
"BFW*!GO[\7=VTI,W9$Z`&%",2016/17,BAARC01F,BA Architecture FT,Level 6,1.62,Other inc. Private Halls,NW1 5LS,65,8,83
"BFX,G3P2D!DM?<UX^3P$8+",2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 5,30.85,Unknown,W1W 6XH,64,45,69
"BFX,G3P2D!DM?<UX^3P$8+",2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 6,2.14,Other inc. Private Halls,W1W 6XH,62,26,65
"BFXC:B""X@E&'.;/-6O)Y9""",2017/18,BABSM06F,BA Business Management FT,Level 4,2.25,Other inc. Private Halls,NW1 5LS,56,49,72
"BG(.U`VM6E7<H%FD2""35\.",2016/17,BAARC02F,BA Interior Architecture FT,Level 5,6.81,Commuter,NW1 5LS,45,34,72
BG[K:#3#+JX'&[]V4Y3HX),2016/17,BAENG07F,BA English Literature FT,Level 6,3.76,Commuter,W1B 2HW,62,6,62
"BG^ZL?.FOGIUA[^<W2X0Y,",2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 6,4.85,Commuter,W1W 6XH,40,23,58
BG+E;1Q/RE)!U>Y$D5+:9/,2016/17,BSPOC03F,BSc Building Surveying FT,Level 6,8.91,Commuter,NW1 5LS,73,32,50
"BG5""0%2T]$;.]6-(36FLZ/",2017/18,BAPIR01F,BA International Relations and Development FT,Level 4,2.85,Other inc. Private Halls,W1B 2HW,71,66,77
BG5BVUF7#=#P^I;!5DO6:*,2017/18,BAPIR03F,BA Politics and International Relations FT,Level 6,9.33,Other inc. Private Halls,W1B 2HW,61,41,63
BG9@B8!IW;'5=3Q@$D)\`*,2017/18,BAADS01F,BA Animation FT,Level 4,0.59,UoW Halls,HA1 3TP,64,35,96
BGI91Z8DZBE75)Q><0;3R$,2017/18,BAJMC02F,BA Journalism FT,Level 4,18.77,Unknown,HA1 3TP,63,36,81
BGL>>Q^9B00Q=7:PQYR@;!,2016/17,BDMPCPH,UG Clinical Photography,Level 5,10.06,Other inc. Private Halls,HA1 3TP,40,3,21
BGL>>Q^9B00Q=7:PQYR@;!,2017/18,BDMPCPH,UG Clinical Photography,Level 6,10.06,Other inc. Private Halls,HA1 3TP,41,2,4
"BGN7""JK>CP^/)@)O)$3$7*",2016/17,BACRI01F,BA Criminology FT,Level 4,31.01,Unknown,W1B 2HW,64,45,65
"BGN7""JK>CP^/)@)O)$3$7*",2017/18,BACRI01F,BA Criminology FT,Level 5,31.01,Unknown,W1B 2HW,60,36,70
BGQ1#)X2\]0*L1WG:`/1K&,2016/17,BSECO01F,BSc Business Economics FT,Level 6,7.26,Commuter,NW1 5LS,63,49,80
"BGTH;!TKW@32""NV]R4GCI!",2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 4,6.66,UoW Halls,W1B 2HW,69,76,94
"BGTH;!TKW@32""NV]R4GCI!",2017/18,BALAN06F,BA Language and Other Disciplines FT,Level 5,2.59,Other inc. Private Halls,W1B 2HW,66,57,80
BGV>)1&$+WXPV.?;@FB>?0,2016/17,BLLAW02F,LLB Law FT,Level 5,,Unknown,W1B 2HW,61,66,97
BGV>)1&$+WXPV.?;@FB>?0,2017/18,BLLAW02F,LLB Law FT,Level 6,1.98,Other inc. Private Halls,W1B 2HW,61,37,55
BGWO.Y^8XGQU<+Y@%?HM7%,2017/18,BSPSY02F,BSc Psychology FT,Level 4,3.97,Commuter,W1W 6XH,59,58,71
BGZUI/7^U'585VAUI3S3-$,2016/17,BSFIN01F,BSc Finance FT,Level 4,8.34,Commuter,NW1 5LS,40,45,89
BGZUI/7^U'585VAUI3S3-$,2017/18,BSFIN01F,BSc Finance FT,Level 5,9.38,Unknown,NW1 5LS,47,38,75
BH*-X3OG1HE8--AY[B?(K$,2016/17,BLLAW02F,LLB Law FT,Level 5,20.24,Unknown,W1B 2HW,48,20,95
BH*-X3OG1HE8--AY[B?(K$,2017/18,BLLAW02F,LLB Law FT,Level 6,20.24,Unknown,W1B 2HW,58,26,73
"BH,Z06'YF%[?8:`E,WMS\)",2016/17,BAJMC02F,BA Journalism FT,Level 4,0.59,UoW Halls,HA1 3TP,50,40,81
"BH,Z06'YF%[?8:`E,WMS\)",2017/18,BAJMC02F,BA Journalism FT,Level 5,3.28,Other inc. Private Halls,HA1 3TP,59,27,87
BH/&FKH9[)8-QHNXI.NJ00,2016/17,BAENG07F,BA English Literature FT,Level 6,16.66,Commuter,W1B 2HW,67,34,74
BH:KRO7K3QU.5LFA7)5L-(,2016/17,BABSM06F,BA Business Management FT,Level 6,34.84,Unknown,NW1 5LS,63,40,87
BH;#-9S.N+UOBNV^RV(^<-,2017/18,BSFIN01F,BSc Finance FT,Level 4,7.8,Commuter,NW1 5LS,,1,16
"BH3RLB/A'_I3(4#^$F06K,",2016/17,BABSM06F,BA Business Management FT,Level 4,5.93,Commuter,NW1 5LS,57,47,86
"BH3RLB/A'_I3(4#^$F06K,",2017/18,BABSM06F,BA Business Management FT,Level 5,5.93,Commuter,NW1 5LS,54,14,87
"BH9RY"")WE!A-%+BR_,3.*%",2017/18,BACRI01F,BA Criminology FT,Level 4,3.13,Commuter,W1B 2HW,46,43,59
"BHH3[&F-LFT+$-6&^_B<,)",2016/17,BSACC01F,BSc Accounting FT,Level 5,13.56,Commuter,NW1 5LS,58,53,85
"BHH3[&F-LFT+$-6&^_B<,)",2017/18,BSACC01F,BSc Accounting FT,Level 6,13.56,Commuter,NW1 5LS,56,40,76
BHI'^+9O8`-4-)LF\H%=]),2016/17,BABSM06F,BA Business Management FT,Level 6,8.83,Other inc. Private Halls,NW1 5LS,63,28,76
BHMA1XLFAE%Q$4OQ>I1_)*,2017/18,BSMGM01F,BSc Computer Games Development FT,Level 4,10.63,Other inc. Private Halls,W1W 6XH,32,25,91
"BHP%1O""""77]9']67>%19S.",2016/17,BAARC01F,BA Architecture FT,Level 6,4.41,Other inc. Private Halls,NW1 5LS,52,3,83
"BHW=@=TE/BRQK).(MP`5"",",2017/18,BAPHT02F,BA Photography FT,Level 4,0.59,UoW Halls,HA1 3TP,63,16,88
BHY%&Z0'=[<1BCOD*)FVS%,2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,15.03,Commuter,W1W 6XH,,41,82
BHY%&Z0'=[<1BCOD*)FVS%,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,15.03,Commuter,W1W 6XH,13,29,74
BHY_M$$CM^BA]*4(*P-_Z/,2016/17,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,59,45,84
BHY_M$$CM^BA]*4(*P-_Z/,2017/18,BAJMC06F,BA Television Production FT,Level 5,0,UoW Halls,HA1 3TP,66,1,67
BI/+EB^(N@/C6[2KVSGJ(',2016/17,BABSM06F,BA Business Management FT,Level 6,6.32,Other inc. Private Halls,NW1 5LS,72,46,87
BI]9%L)`-7(Q+`\K!:Q(90,2017/18,BECSS01F,BEng Software Engineering FT,Level 4,8.45,Other inc. Private Halls,W1W 6XH,84,79,90
"BI_""I_$K-EVZT%BMC'L<.#",2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 4,12.03,Commuter,W1W 6XH,47,24,74
BI<!*70G9F%)XB8VBY.C$&,2016/17,BAPHT01F,BA Contemporary Media Practice FT,Level 4,0.59,UoW Halls,HA1 3TP,58,35,83
BI<!*70G9F%)XB8VBY.C$&,2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 5,23.47,Unknown,HA1 3TP,60,20,69
BI>XU8MY5_$!F@1:JY_=!0,2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 5,1.1,Unknown,HA1 3TP,65,30,71
"BI0H!""2->=LZ)M$PH0!=J-",2016/17,BASOC01F,BA Sociology FT,Level 5,7.65,Commuter,W1B 2HW,62,19,56
"BI0H!""2->=LZ)M$PH0!=J-",2017/18,BASOC01F,BA Sociology FT,Level 6,7.65,Commuter,W1B 2HW,61,13,48
"BI9F_ZZU#FH2>$P\S&UXY""",2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,0.83,Other inc. Private Halls,HA1 3TP,64,38,90
BIK5Z&0`S*0S+!^DTD6V:&,2016/17,BSPOC02F,BSc Building Engineering FT,Level 4,0.53,Other inc. Private Halls,NW1 5LS,45,29,50
BIK5Z&0`S*0S+!^DTD6V:&,2017/18,BSPOC02F,BSc Building Engineering FT,Level 5,0.53,Other inc. Private Halls,NW1 5LS,30,24,56
BIOYQ[79EJGM+ZZ[=?.HH',2016/17,BILAW04F,Integrated Master‰Ûªs in Law (M-Law) FT,Level 6,5.04,Other inc. Private Halls,W1B 2HW,58,52,77
"BIYU'S@TO1\?HG_)T>!]R""",2016/17,BAENG07F,BA English Literature FT,Level 6,11.44,Other inc. Private Halls,W1B 2HW,62,42,87
"BJ""<5J-$N+6JBK>H1X9NL!",2017/18,BSACC01F,BSc Accounting FT,Level 4,9.8,Commuter,NW1 5LS,75,28,63
BJ$D4W[8A'H</D&99X3X?0,2017/18,BAJMC05F,BA Radio and Digital Production FT,Level 4,0.59,UoW Halls,HA1 3TP,64,58,77
BJ(Q<&Y[F4\WRRJ@B.C7A',2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,7.4,Other inc. Private Halls,W1W 6XH,54,43,60
BJ(Q<&Y[F4\WRRJ@B.C7A',2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,2.41,Other inc. Private Halls,W1W 6XH,53,34,78
BJ)\R6_IZ[:#M>BLKUU%2-,2016/17,BSBIO02F,BSc Biological Sciences FT,Level 6,8.88,Commuter,W1W 6XH,48,41,76
BJ)K._4D!R:=)A!7LHY!F&,2017/18,BAADS01F,BA Animation FT,Level 4,4.32,Unknown,HA1 3TP,64,19,96
"BJ^=7EA#]I$MD6PY2C83$""",2017/18,BABSM06F,BA Business Management FT,Level 4,10.8,Unknown,NW1 5LS,70,51,73
"BJ4(PN"".;I<8FA]@!%:&""""",2016/17,BSFIN01F,BSc Finance FT,Level 5,5.5,Other inc. Private Halls,NW1 5LS,54,31,76
"BJ4(PN"".;I<8FA]@!%:&""""",2017/18,BSFIN01F,BSc Finance FT,Level 6,0.21,Other inc. Private Halls,NW1 5LS,50,36,88
"BJ6*I&4;T'^""=76!@+8=S,",2016/17,BAFAS02F,BA Fashion Design FT,Level 5,4.73,Other inc. Private Halls,HA1 3TP,60,0,120
BJ6CJ_W7XO+RJ?R4'LH]9-,2017/18,BSECO01F,BSc Business Economics FT,Level 4,26.03,Unknown,NW1 5LS,68,46,73
"BJ7WV/J540\',V&F)<</U0",2016/17,BABSM06F,BA Business Management FT,Level 5,9,Commuter,NW1 5LS,47,67,86
"BJSED!.AH-$Y+*6,HU]$F*",2016/17,BLLAW02F,LLB Law FT,Level 5,11.08,Commuter,W1B 2HW,54,65,94
"BJSED!.AH-$Y+*6,HU]$F*",2017/18,BLLAW02F,LLB Law FT,Level 6,11.08,Commuter,W1B 2HW,61,43,77
"BJZ9H$,+9I<7.R0(:H59$(",2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 4,2.22,UoW Halls,HA1 3TP,53,44,72
"BK'(+""7ZBHKK*,__/0YJW'",2017/18,BSPSY02F,BSc Psychology FT,Level 4,6.64,UoW Halls,W1W 6XH,63,51,71
BK']Y&U^RJ[MIB4R`8;7T#,2017/18,BAPIR01F,BA International Relations and Development FT,Level 4,6.66,UoW Halls,W1B 2HW,64,47,77
"BK#2\CFQA62P^JB\K3][P""",2016/17,BAHIS03F,BA History FT,Level 4,3.02,Commuter,W1B 2HW,52,40,105
"BK#2\CFQA62P^JB\K3][P""",2017/18,BAHIS03F,BA History FT,Level 5,3.02,Commuter,W1B 2HW,59,25,73
"BK%N'+V=;>?QCQ,FJE6#:)",2017/18,BAADS01F,BA Animation FT,Level 6,16.32,Other inc. Private Halls,HA1 3TP,0,1,39
"BK&(""EV^5*[A)LQND;<S`&",2016/17,BAPIR03F,BA Politics and International Relations FT,Level 6,0.6,UoW Halls,W1B 2HW,63,44,94
"BK+8Y4?PAND7L^Q`ZG%P&,",2016/17,BSACC01F,BSc Accounting FT,Level 4,8.5,Commuter,NW1 5LS,65,62,88
"BK+8Y4?PAND7L^Q`ZG%P&,",2017/18,BSACC01F,BSc Accounting FT,Level 5,8.5,Commuter,NW1 5LS,75,51,63
"BK>I^]1"";G(3<M`O.M-D;*",2016/17,BLLAW02F,LLB Law FT,Level 4,6.23,Other inc. Private Halls,W1B 2HW,58,61,107
"BK>I^]1"";G(3<M`O.M-D;*",2017/18,BLLAW02F,LLB Law FT,Level 5,6.23,Other inc. Private Halls,W1B 2HW,62,47,96
